ShareID,PostID,UserID,Timestamp
"SHARE-1","50020","2751","2025-11-08 00:08:29"
"SHARE-2","50022","1686","2024-07-23 01:35:46"
"SHARE-3","50022","1343","2024-07-24 01:35:46"
"SHARE-4","50022","2454","2024-07-23 01:35:46"
"SHARE-5","50022","1208","2024-07-22 01:35:46"
"SHARE-6","50042","2065","2024-05-11 18:15:37"
"SHARE-7","50045","2824","2024-09-07 00:03:38"
"SHARE-8","50045","1181","2024-09-10 00:03:38"
"SHARE-9","50045","2473","2024-09-06 00:03:38"
"SHARE-10","50045","2062","2024-09-10 00:03:38"
"SHARE-11","50045","1863","2024-09-08 00:03:38"
"SHARE-12","50046","2228","2025-08-06 02:23:08"
"SHARE-13","50046","2000","2025-08-05 02:23:08"
"SHARE-14","50046","1058","2025-08-05 02:23:08"
"SHARE-15","50046","2330","2025-08-05 02:23:08"
"SHARE-16","50048","1362","2024-05-04 00:07:04"
"SHARE-17","50048","2802","2024-05-06 00:07:04"
"SHARE-18","50048","1579","2024-05-07 00:07:04"
"SHARE-19","50048","1659","2024-05-07 00:07:04"
"SHARE-20","50054","2230","2025-01-09 04:52:45"
"SHARE-21","50054","2199","2025-01-11 04:52:45"
"SHARE-22","50054","2884","2025-01-09 04:52:45"
"SHARE-23","50054","2731","2025-01-07 04:52:45"
"SHARE-24","50057","1637","2024-02-28 16:03:02"
"SHARE-25","50057","2711","2024-02-27 16:03:02"
"SHARE-26","50057","1435","2024-02-28 16:03:02"
"SHARE-27","50057","1618","2024-02-26 16:03:02"
"SHARE-28","50057","2747","2024-02-27 16:03:02"
"SHARE-29","50067","2873","2024-10-01 11:56:08"
"SHARE-30","50067","1844","2024-10-02 11:56:08"
"SHARE-31","50071","2203","2024-11-09 20:08:38"
"SHARE-32","50072","2892","2024-02-13 06:53:46"
"SHARE-33","50072","1594","2024-02-14 06:53:46"
"SHARE-34","50072","2817","2024-02-16 06:53:46"
"SHARE-35","50095","1959","2024-05-21 03:44:17"
"SHARE-36","50108","2995","2025-04-12 13:39:52"
"SHARE-37","50108","1109","2025-04-13 13:39:52"
"SHARE-38","50108","2123","2025-04-13 13:39:52"
"SHARE-39","50108","1615","2025-04-11 13:39:52"
"SHARE-40","50112","2550","2025-09-17 17:12:56"
"SHARE-41","50112","1421","2025-09-17 17:12:56"
"SHARE-42","50112","2264","2025-09-20 17:12:56"
"SHARE-43","50112","1972","2025-09-18 17:12:56"
"SHARE-44","50118","2965","2024-08-10 20:00:28"
"SHARE-45","50166","2162","2025-03-15 04:10:11"
"SHARE-46","50182","2391","2025-03-03 01:36:48"
"SHARE-47","50182","2305","2025-03-03 01:36:48"
"SHARE-48","50187","2528","2024-05-13 03:16:41"
"SHARE-49","50187","1675","2024-05-12 03:16:41"
"SHARE-50","50187","2729","2024-05-12 03:16:41"
"SHARE-51","50187","1249","2024-05-13 03:16:41"
"SHARE-52","50187","1653","2024-05-12 03:16:41"
"SHARE-53","50190","2689","2025-10-25 03:18:54"
"SHARE-54","50190","1133","2025-10-24 03:18:54"
"SHARE-55","50190","2403","2025-10-26 03:18:54"
"SHARE-56","50190","2121","2025-10-24 03:18:54"
"SHARE-57","50190","2354","2025-10-25 03:18:54"
"SHARE-58","50192","1293","2025-01-23 18:17:31"
"SHARE-59","50192","2278","2025-01-21 18:17:31"
"SHARE-60","50192","2849","2025-01-24 18:17:31"
"SHARE-61","50192","2987","2025-01-21 18:17:31"
"SHARE-62","50192","2602","2025-01-20 18:17:31"
"SHARE-63","50199","2309","2025-09-13 12:06:34"
"SHARE-64","50211","1725","2025-05-31 00:22:44"
"SHARE-65","50211","1591","2025-05-27 00:22:44"
"SHARE-66","50211","1335","2025-05-30 00:22:44"
"SHARE-67","50211","1827","2025-05-29 00:22:44"
"SHARE-68","50230","1178","2025-03-08 04:02:26"
"SHARE-69","50230","1379","2025-03-06 04:02:26"
"SHARE-70","50230","2181","2025-03-06 04:02:26"
"SHARE-71","50230","1089","2025-03-09 04:02:26"
"SHARE-72","50234","2834","2025-06-18 12:35:43"
"SHARE-73","50234","1489","2025-06-17 12:35:43"
"SHARE-74","50234","2450","2025-06-15 12:35:43"
"SHARE-75","50234","1730","2025-06-16 12:35:43"
"SHARE-76","50252","1148","2025-05-24 05:03:29"
"SHARE-77","50252","1610","2025-05-23 05:03:29"
"SHARE-78","50252","1398","2025-05-20 05:03:29"
"SHARE-79","50265","2915","2025-01-31 08:32:15"
"SHARE-80","50265","2613","2025-01-28 08:32:15"
"SHARE-81","50265","2826","2025-02-01 08:32:15"
